iter	Logloss
0	0.3672689997
1	0.1931368891
2	0.1033174814
3	0.05597985554
4	0.03171178675
5	0.01966748412
6	0.01249831128
7	0.00864805611
8	0.006163216551
9	0.00429802835
10	0.003223772983
11	0.002376523991
12	0.00187238429
13	0.001494212379
14	0.001233476102
15	0.0009646283935
16	0.0008243291875
17	0.0006724715978
18	0.0006027910411
19	0.000513428544
20	0.0004407792116
21	0.0003822223395
22	0.0003310311511
23	0.0003310242047
24	0.0002984658753
25	0.0002629308105
26	0.0002628901849
27	0.0002563453441
28	0.0002351685986
29	0.000235168909
30	0.000235139858
31	0.0002109764032
32	0.0001979941676
33	0.0001979987447
34	0.0001979824205
35	0.0001979824205
36	0.0001979824205
37	0.0001979717252
38	0.0001979638164
39	0.0001979638164
40	0.0001979638164
41	0.0001979700066
42	0.0001863512844
43	0.0001863512844
44	0.0001863443355
45	0.0001863443355
46	0.0001863443355
47	0.0001863335905
48	0.0001863335905
49	0.0001863235459
50	0.0001863239184
51	0.0001863148659
52	0.0001863148659
53	0.0001863067771
54	0.0001863042961
55	0.0001863042961
56	0.000186297439
57	0.0001862747297
58	0.0001862747297
59	0.0001862651668
60	0.0001862594076
61	0.0001862549422
62	0.0001862545299
63	0.0001862545299
64	0.0001862504669
65	0.0001862413101
66	0.000186236461
67	0.000186236461
68	0.0001862301106
69	0.0001862272682
70	0.0001862272682
71	0.0001862272682
72	0.0001862272682
73	0.0001862121398
74	0.0001862067431
75	0.0001862018245
76	0.0001861895397
77	0.0001861895397
78	0.0001861895397
79	0.0001861873828
80	0.0001861807853
81	0.0001861807853
82	0.0001861716857
83	0.0001861716857
84	0.0001861799695
85	0.0001861663051
86	0.0001861551963
87	0.0001861551963
88	0.0001861551963
89	0.0001861535286
90	0.0001861390981
91	0.0001861367263
92	0.000186120756
93	0.0001861207684
94	0.0001861007797
95	0.0001861128646
96	0.0001861068072
97	0.0001860906904
98	0.0001860855656
99	0.0001860687894
